Index,Release Date,Title,Production Budget,Domestic Gross,Worldwide Gross,MPAA Rating,Running Time,Source,Genre,Production Method,Creative Type
1,12/18/2009,Avatar,425000000,760507625,2776345279,PG-13,162,Original Screenplay,Action,Animation/Live Action,Science Fiction
2,5/20/2011,Pirates of the Caribbean: On Stranger Tides,410600000,241063875,1045663875,PG-13,136,Based on Theme Park Ride,Adventure,Live Action,Fantasy
3,5/1/2015,Avengers: Age of Ultron,330600000,459005868,1403013963,PG-13,141,Based on Comic/Graphic Novel,Action,Animation/Live Action,Super Hero
4,12/15/2017,Star Wars Ep. VIII: The Last Jedi,317000000,620181382,1316764784,PG-13,150,Original Screenplay,Adventure,Live Action,Science Fiction
5,12/18/2015,Star Wars Ep. VII: The Force Awakens,306000000,936662225,2053311220,PG-13,136,Original Screenplay,Adventure,Animation/Live Action,Science Fiction
6,4/27/2018,Avengers: Infinity War,300000000,678815482,2048803724,PG-13,156,Based on Comic/Graphic Novel,Action,Animation/Live Action,Super Hero
7,5/24/2007,Pirates of the Caribbean: At Worlds End,300000000,309420425,963420425,PG-13,167,Based on Theme Park Ride,Adventure,Live Action,Historical Fiction
8,11/17/2017,Justice League,300000000,229024295,655953446,PG-13,121,Based on Comic/Graphic Novel,Action,Live Action,Super Hero
9,11/6/2015,Spectre,300000000,200074175,879620923,PG-13,148,Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction
10,7/20/2012,The Dark Knight Rises,275000000,448139099,1084439099,PG-13,164,Based on Comic/Graphic Novel,Action,Live Action,Super Hero
11,7/2/2013,The Lone Ranger,275000000,89302115,260002115,PG-13,149,Based on TV,Western,Live Action,Historical Fiction
12,3/9/2012,John Carter,275000000,73058679,282778100,PG-13,132,Based on Fiction Book/Short Story,Adventure,Live Action,Science Fiction
13,11/24/2010,Tangled,260000000,200821936,586477240,PG,101,Based on Folk Tale/Legend/Fairytale,Musical,Digital Animation,Kids Fiction
14,5/4/2007,Spider-Man 3,258000000,336530303,894860230,PG-13,139,Based on Comic/Graphic Novel,Adventure,Live Action,Super Hero
15,5/6/2016,Captain America: Civil War,250000000,408084349,1140075017,PG-13,146,Based on Comic/Graphic Novel,Action,Live Action,Super Hero
16,3/25/2016,Batman v Superman: Dawn of Justice,250000000,330360194,867500281,PG-13,151,Based on Comic/Graphic Novel,Action,Live Action,Super Hero
17,12/14/2012,The Hobbit: An Unexpected Journey,250000000,303003568,1017003568,PG-13,169,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,Fantasy
18,7/15/2009,Harry Potter and the Half-Blood Prince,250000000,302089278,935213767,PG,153,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,Fantasy
19,12/13/2013,The Hobbit: The Desolation of Smaug,250000000,258366855,960366855,PG-13,201,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,Fantasy
20,12/17/2014,The Hobbit: The Battle of the Five Armies,250000000,255119788,945577621,PG-13,144,Based on Fiction Book/Short Story,Adventure,Live Action,Fantasy
21,4/14/2017,The Fate of the Furious,250000000,225764765,1234902728,PG-13,136,Original Screenplay,Action,Live Action,Contemporary Fiction
22,5/25/2018,Solo: A Star Wars Story,250000000,213767512,393151347,PG-13,135,Spin-Off,Adventure,Live Action,Science Fiction
23,6/28/2006,Superman Returns,232000000,200120000,374085065,PG-13,150,Based on Comic/Graphic Novel,Adventure,Live Action,Super Hero
24,5/26/2017,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,172558876,788241137,PG-13,135,Based on Theme Park Ride,Adventure,Live Action,Fantasy
25,11/14/2008,Quantum of Solace,230000000,169368427,591692078,PG-13,106,Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction
26,5/4/2012,The Avengers,225000000,623279547,1517935897,PG-13,143,Based on Comic/Graphic Novel,Action,Animation/Live Action,Super Hero
27,7/7/2006,Pirates of the Caribbean: Dead Mans Chest,225000000,423315812,1066215812,PG-13,151,Based on Theme Park Ride,Adventure,Live Action,Historical Fiction
28,6/14/2013,Man of Steel,225000000,291045518,667999518,PG-13,142,Based on Comic/Graphic Novel,Action,Live Action,Super Hero
29,5/16/2008,The Chronicles of Narnia: Prince Caspian,225000000,141621490,417341288,PG,144,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,Fantasy
30,7/3/2012,The Amazing Spider-Man,220000000,262030663,757890267,PG-13,136,Based on Comic/Graphic Novel,Adventure,Live Action,Super Hero
31,5/18/2012,Battleship,220000000,65233400,313477717,PG-13,130,Based on Game,Action,Live Action,Contemporary Fiction
32,6/21/2017,Transformers: The Last Knight,217000000,130168683,602893340,PG-13,148,Based on TV,Action,Animation/Live Action,Science Fiction
33,6/12/2015,Jurassic World,215000000,652270625,1648854864,PG-13,124,Based on Fiction Book/Short Story,Action,Live Action,Science Fiction
34,5/25/2012,Men in Black 3,215000000,179020854,654213485,PG-13,104,Based on Comic/Graphic Novel,Adventure,Animation/Live Action,Science Fiction
35,6/24/2009,Transformers: Revenge of the Fallen,210000000,402111870,836519699,PG-13,149,Based on TV,Action,Animation/Live Action,Science Fiction
36,6/27/2014,Transformers: Age of Extinction,210000000,245439076,1104039076,PG-13,165,Based on TV,Action,Animation/Live Action,Science Fiction
37,5/26/2006,X-Men: The Last Stand,210000000,234362462,459260946,PG-13,104,Based on Comic/Graphic Novel,Action,Live Action,Super Hero
38,5/14/2010,Robin Hood,210000000,105487148,322459006,PG-13,139,Based on Folk Tale/Legend/Fairytale,Action,Live Action,Historical Fiction
39,12/14/2005,King Kong,207000000,218080025,550517357,PG-13,189,Remake,Adventure,Animation/Live Action,Fantasy
40,12/7/2007,The Golden Compass,205000000,70107728,367262558,PG-13,113,Based on Fiction Book/Short Story,Adventure,Live Action,Fantasy
41,2/16/2018,Black Panther,200000000,700059566,1348359566,PG-13,120,Based on Comic/Graphic Novel,Action,Live Action,Super Hero
42,12/19/1997,Titanic,200000000,659363944,2208208395,PG-13,194,Original Screenplay,Thriller/Suspense,Live Action,Historical Fiction
43,6/15/2018,Incredibles 2,200000000,608581744,1242581744,PG,118,Original Screenplay,Adventure,Digital Animation,Kids Fiction
44,12/16/2016,Rogue One: A Star Wars Story,200000000,532177324,1049104056,PG-13,134,Spin-Off,Adventure,Animation/Live Action,Science Fiction
45,6/17/2016,Finding Dory,200000000,486295561,1021222367,PG,103,Original Screenplay,Adventure,Digital Animation,Kids Fiction
46,6/18/2010,Toy Story 3,200000000,415004880,1068879522,G,102,Original Screenplay,Adventure,Digital Animation,Kids Fiction
47,5/3/2013,Iron Man 3,200000000,408992272,1215392272,PG-13,130,Based on Comic/Graphic Novel,Action,Animation/Live Action,Super Hero
48,5/5/2017,Guardians of the Galaxy Vol 2,200000000,389813101,862317259,PG-13,136,Based on Comic/Graphic Novel,Action,Live Action,Super Hero
49,6/30/2004,Spider-Man 2,200000000,373524485,795110670,PG-13,127,Based on Comic/Graphic Novel,Adventure,Live Action,Super Hero
50,3/5/2010,Alice in Wonderland,200000000,334191110,1025491110,PG,108,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,Fantasy
51,11/8/2012,Skyfall,200000000,304360277,1110526981,PG-13,143,Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction
52,6/21/2013,Monsters University,200000000,268488329,743588329,G,102,Original Screenplay,Adventure,Digital Animation,Kids Fiction
53,3/8/2013,Oz the Great and Powerful,200000000,234770996,490359051,PG,130,Spin-Off,Adventure,Animation/Live Action,Fantasy
54,5/23/2014,X-Men: Days of Future Past,200000000,233921534,747862775,PG-13,131,Based on Comic/Graphic Novel,Action,Live Action,Super Hero
55,5/2/2014,The Amazing Spider-Man 2,200000000,202853933,708996336,PG-13,141,Based on Comic/Graphic Novel,Action,Live Action,Super Hero
56,6/24/2011,Cars 2,200000000,191450875,560155383,G,107,Original Screenplay,Adventure,Digital Animation,Kids Fiction
57,12/17/2010,Tron: Legacy,200000000,172062763,400062763,PG,125,Original Screenplay,Adventure,Live Action,Science Fiction
58,11/13/2009,2012,200000000,166112167,788408539,PG-13,158,Original Screenplay,Action,Live Action,Science Fiction
59,11/16/2018,Fantastic Beasts: The Crimes of Grindelwald,200000000,159177033,650786289,PG-13,134,Spin-Off,Adventure,Live Action,Fantasy
60,5/21/2009,Terminator Salvation,200000000,125322469,365491792,PG-13,116,Original Screenplay,Action,Live Action,Science Fiction
61,6/17/2011,Green Lantern,200000000,116601172,219535492,PG-13,113,Based on Comic/Graphic Novel,Action,Animation/Live Action,Super Hero
62,5/28/2010,Prince of Persia: Sands of Time,200000000,90759676,336359676,PG-13,115,Based on Game,Action,Live Action,Fantasy
63,6/29/2011,Transformers: Dark of the Moon,195000000,352390543,1123790543,PG-13,154,Based on TV,Action,Animation/Live Action,Science Fiction
64,6/9/2017,The Mummy,195000000,80101125,409953905,PG-13,107,Based on Folk Tale/Legend/Fairytale,Adventure,Live Action,Historical Fiction
65,3/1/2013,Jack the Giant Slayer,195000000,65187603,197687603,PG-13,113,Based on Folk Tale/Legend/Fairytale,Adventure,Animation/Live Action,Fantasy
66,4/3/2015,Furious 7,190000000,353007020,1518722794,PG-13,137,Original Screenplay,Action,Live Action,Contemporary Fiction
67,5/16/2013,Star Trek Into Darkness,190000000,228778661,467381584,PG-13,132,Based on TV,Adventure,Live Action,Science Fiction
68,6/21/2013,World War Z,190000000,202359711,531514650,PG-13,115,Based on Fiction Book/Short Story,Action,Live Action,Science Fiction
69,5/10/2013,The Great Gatsby,190000000,144840419,351040419,PG-13,141,Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction
70,11/6/2009,Disneys A Christmas Carol,190000000,137855863,315709697,PG,95,Remake,Drama,Digital Animation,Fantasy
71,7/12/2013,Pacific Rim,190000000,101802906,411002906,PG-13,131,Original Screenplay,Action,Live Action,Science Fiction
72,11/25/2015,The Good Dinosaur,187500000,123087120,333771037,PG,92,Original Screenplay,Adventure,Digital Animation,Kids Fiction
73,5/2/2008,Iron Man,186000000,318604126,585171547,PG-13,126,Based on Comic/Graphic Novel,Adventure,Live Action,Super Hero
74,7/18/2008,The Dark Knight,185000000,533720947,1001996207,PG-13,152,Based on Comic/Graphic Novel,Action,Live Action,Super Hero
75,5/22/2008,Indiana Jones and the Kingdom of the Crystal Skull,185000000,317101119,786635413,PG-13,123,Original Screenplay,Adventure,Live Action,Historical Fiction
76,6/22/2012,Brave,185000000,237282182,554606532,PG,93,Original Screenplay,Adventure,Digital Animation,Kids Fiction
77,3/10/2017,Kong: Skull Island,185000000,168052812,561072059,PG-13,118,Original Screenplay,Adventure,Live Action,Science Fiction
78,7/22/2016,Star Trek Beyond,185000000,158848340,335802233,PG-13,122,Based on TV,Adventure,Live Action,Science Fiction
79,10/6/2017,Blade Runner 2049,185000000,92054159,259365194,R,164,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Science Fiction
80,11/3/2017,Thor: Ragnarok,180000000,315058289,846980024,PG-13,130,Based on Comic/Graphic Novel,Action,Live Action,Super Hero
81,12/9/2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,291710957,720539572,PG,140,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,Fantasy
82,5/30/2014,Maleficent,180000000,241407328,758536735,PG,97,Spin-Off,Adventure,Live Action,Fantasy
83,11/18/2016,Fantastic Beasts and Where to Find Them,180000000,234037575,802403506,PG-13,133,Spin-Off,Adventure,Live Action,Fantasy
84,6/27/2008,WALL-E,180000000,223808164,532508025,G,100,Original Screenplay,Adventure,Digital Animation,Science Fiction
85,8/10/2007,Rush Hour 3,180000000,140125968,256585882,PG-13,91,Original Screenplay,Action,Live Action,Contemporary Fiction
86,7/1/2016,The Legend of Tarzan,180000000,126643061,348903645,PG-13,110,Based on Fiction Book/Short Story,Adventure,Live Action,Historical Fiction
87,11/23/2011,Hugo,180000000,73864507,180047784,PG,126,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,Fantasy
88,7/21/2017,Valerian and the City of a Thousand Planets,180000000,40479370,215098499,PG-13,129,Based on Comic/Graphic Novel,Adventure,Live Action,Science Fiction
89,2/6/2015,Jupiter Ascending,179000000,47482519,181982519,PG-13,127,Original Screenplay,Action,Live Action,Science Fiction
90,7/27/2018,Mission: ImpossibleFallout,178000000,220159104,787490609,PG-13,147,Based on TV,Action,Live Action,Contemporary Fiction
