Unnamed: 0,imdb_ids,movie,year,imdb,metascore,votes,release_date,release_date_norm,title,title_norm,mpaa-rating,mpaa-rating_norm,running-time,franchises,franchises_norm,keywords,keywords_norm,source,source_norm,genre,genre_norm,production_method,production_method_norm,creative_type,creative_type_norm,production_companies,production_companies_norm,production_countries,production_countries_norm,languages,languages_norm,production_budget,domestic_gross,worldwide_gross,imdb_id
4,27125,Top Hat,1935,78,,16019,"Sep 6, 1935",1935/09/06,Top Hat,Top-Hat,Not Rated,Not-Rated-(US),101.0,,,,,,,,,,,,,,,United States,United-States,English,English,609000,1782000,3202000,27125.0
500,27977,Modern Times,1936,85,96.0,196871,"Feb 5, 1936",1936/02/05,Modern Times,Modern-Times,G,G-(US),87.0,,,,,,,Comedy,Comedy,Live Action,Live-Action,,,,,United States,United-States,English,English,1500000,163245,199747,27977.0
516,28216,San Francisco,1936,72,,4594,"Jun 26, 1936",1936/06/26,San Francisco,San-Francisco,Not Rated,Not-Rated-(US),115.0,,,,,,,,,,,,,,,United States,United-States,English,English,1300000,2868000,5273000,28216.0
517,27438,The Charge of the Light Brigade,1936,71,,4177,"Oct 20, 1936",1936/10/20,The Charge of the Light Brigade,Charge-of-the-Light-Brigade-The,Not Rated,Not-Rated-(US),115.0,,,,,Based on Real Life Events,Based-on-Real-Life-Events,Action,Action,Live Action,Live-Action,Dramatization,Dramatization,,,United States,United-States,English,English,1200000,0,0,27438.0
1000,29583,Snow White and the Seven Dwarfs,1937,76,95.0,168091,"Dec 21, 1937",1937/12/21,Snow White and the Seven Dwarfs,Snow-White-and-the-Seven-Dwarfs,G,G-(US),83.0,,,Intertitle;Prologue;Royalty;Dwarves;Prince/Princess;Love at First Sight;Step-Family;Mute,Intertitle;Prologue;Royalty;Dwarves;Prince-Princess;Love-at-First-Sight;Step-Family;Mute,Based on Folk Tale/Legend/Fairytale,Based-on-Folk-Tale-Legend-or-Fairytale,Musical,Musical,Hand Animation,Hand-Animation,Kids Fiction,Kids-Fiction,Walt Disney Pictures,Walt-Disney-Pictures,United States,United-States,English,English,1488000,184925486,184925486,29583.0
1503,30993,You Can't Take It with You,1938,79,,21556,"Sep 1, 1938",1938/09/01,You Can't Take It With You,You-Cant-Take-It-With-You,Not Rated,Not-Rated-(US),126.0,,,,,,,,,,,,,,,United States,United-States,English,English,1644000,4000000,4000000,30993.0
1532,29852,Alexander's Ragtime Band,1938,69,,1772,"May 24, 1938",1938/05/24,Alexander's Ragtime Band,Alexanders-Ragtime-Band,Not Rated,Not-Rated-(US),106.0,,,,,Original Screenplay,Original-Screenplay,Drama,Drama,Live Action,Live-Action,,,,,United States,United-States,English,English,2000000,4000000,4000000,29852.0
2000,32138,The Wizard of Oz,1939,80,100.0,356739,"Aug 25, 1939",1939/08/25,The Wizard of Oz,Wizard-of-Oz-The,PG-13,PG-13-(US),101.0,Wizard of Oz,Wizard-of-Oz,"Same Actor, Multiple Roles;3D Re-release;Living Scarecrow;3-D;3-D - Post-production Conversion;IMAX: DMR",Same-Actor-Multiple-Roles;3D-Rerelease;Living-Scarecrow;3-D;3-D-Post-Production-Conversion;IMAX-DMR,Based on Fiction Book/Short Story,Based-on-Fictional-Book-or-Short-Story,Musical,Musical,Live Action,Live-Action,Fantasy,Fantasy,,,United States,United-States,English,English,2777000,34063405,34305476,32138.0
2001,31381,Gone with the Wind,1939,81,97.0,268882,"Dec 15, 1939",1939/12/15,Gone with the Wind,Gone-with-the-Wind,G,G-(US),220.0,,,Civil War;War,Civil-War;War,Based on Fiction Book/Short Story,Based-on-Fictional-Book-or-Short-Story,Drama,Drama,Live Action,Live-Action,Historical Fiction,Historical-Fiction,Metro-Goldwyn-Mayer Pictures,Metro-Goldwyn-Mayer-Pictures,United States,United-States,English,English,3900000,198680470,390525192,31381.0
2002,31679,Mr. Smith Goes to Washington,1939,81,73.0,99907,"Oct 17, 1939",1939/10/17,Mr. Smith Goes To Washington,Mr-Smith-Goes-To-Washington,Not Rated,Not-Rated-(US),129.0,,,,,Original Screenplay,Original-Screenplay,Drama,Drama,Live Action,Live-Action,,,,,United States,United-States,English,English,1500000,9000000,9000000,31679.0
2021,31022,The Adventures of Sherlock Holmes,1939,74,,5797,"Jul 26, 1996",1996/07/26,The Adventures of Pinocchio,Adventures-of-Pinocchio-The,G,G-(US),96.0,,,,,Based on Fiction Book/Short Story,Based-on-Fictional-Book-or-Short-Story,Adventure,Adventure,Animation/Live Action,Animation-and-Live-Action,Fantasy,Fantasy,New Line Cinema;Savoy Pictures;Kushner-Locke Company;Two Continental Films;Pangaea Holdings,New-Line-Cinema;Savoy-Pictures;Kushner-Locke-Company;Two-Continental-Films;Pangaea-Holdings,France;Germany;Italy;Malaysia;United Kingdom,France;Germany;Italy;Malaysia;United-Kingdom,English;Italian,English;Italian,25000000,15382170,36682170,31022.0
2501,32910,Pinocchio,1940,74,99.0,119532,"Feb 9, 1940",1940/02/09,Pinocchio,Pinocchio-(1940),G,G-(US),87.0,,,Living Toys;Human Animal Tranformation;Fairy Godmother;Animal Lead;Talking Animals;Marooned;Rescue;Prologue;Coming of Age;Juvenile Delinquent;Kidnap,Living-Toys;Human-Animal-Tranformation;Fairy-Godmother;Animal-Lead;Talking-Animals;Marooned;Rescue;Prologue;Coming-of-Age;Juvenile-Delinquent;Kidnap,Based on Fiction Book/Short Story,Based-on-Fictional-Book-or-Short-Story,Adventure,Adventure,Hand Animation,Hand-Animation,Kids Fiction,Kids-Fiction,,,United States,United-States,English,English,2289247,84300000,84300000,32910.0
2502,32976,Rebecca,1940,81,,113040,"Mar 21, 1940",1940/03/21,Rebecca,Rebecca,Not Rated,Not-Rated-(US),130.0,,,Film Noir;Voiceover/Narration;Romance;Orphan;Unnamed Character;Directing Yourself;Infidelity;Suicide;Relationships Gone Wrong;Surprise Twist;Terminal Illness;Cross-Class Romance;LGBT;Accidental Death;Prologue,Film-Noir;Voiceover-Narration;Romance;Orphan;Unnamed-Character;Directing-Yourself;Infidelity;Suicide;Relationships-Gone-Wrong;Surprise-Twist;Terminal-Illness;Cross-Class-Romance;LGBT;Accidental-Death;Prologue,Based on Fiction Book/Short Story,Based-on-Fictional-Book-or-Short-Story,Drama,Drama,Live Action,Live-Action,,,,,United States,United-States,English,English,1288000,6000000,6002370,32976.0
2503,32455,Fantasia,1940,78,96.0,83025,"Nov 13, 1940",1940/11/13,Fantasia,Fantasia,G,G-(US),126.0,Fantasia,Fantasia,,,Compilation,Compilation,Musical,Musical,Hand Animation,Hand-Animation,Multiple Creative Types,Multiple-Creative-Types,Walt Disney Pictures,Walt-Disney-Pictures,United States,United-States,English,English,2280000,83320000,83320000,32455.0
2536,32273,Boom Town,1940,71,,2871,"Aug 30, 1940",1940/08/30,Boom Town,Boom-Town,Not Rated,Not-Rated-(US),119.0,,,,,Original Screenplay,Original-Screenplay,,,Live Action,Live-Action,,,,,United States,United-States,English,English,2000000,9172000,9172000,32273.0
3005,33729,How Green Was My Valley,1941,77,,19545,"Oct 28, 1941",1941/10/28,How Green Was My Valley,How-Green-Was-My-Valley,Not Rated,Not-Rated-(US),118.0,,,,,Based on Fiction Book/Short Story,Based-on-Fictional-Book-or-Short-Story,,,,,,,,,United States,United-States,English;Welsh,English;Welsh,1250000,0,0,33729.0
3499,34583,Casablanca,1942,85,100.0,486106,"Jan 23, 1943",1943/01/23,Casablanca,Casablanca,PG,PG-(US),99.0,,,World War II;Film Noir;War;Romance;Resistance Fighter;Nazis;Immigration;Corrupt Cops,World-War-II;Film-Noir;War;Romance;Resistance-Fighter;Nazis;Immigration;Corrupt-Cops,Based on Play,Based-on-Play,Drama,Drama,Live Action,Live-Action,Historical Fiction,Historical-Fiction,Hal B. Wallis,Hal-B-Wallis,United States,United-States,English,English,1039000,10462500,10498348,34583.0
3500,34492,Bambi,1942,73,91.0,121166,"Aug 13, 1942",1942/08/13,Bambi,Bambi,G,G-(US),70.0,,,,,Based on Fiction Book/Short Story,Based-on-Fictional-Book-or-Short-Story,Drama,Drama,Hand Animation,Hand-Animation,Kids Fiction,Kids-Fiction,Walt Disney Animation Studios,Walt-Disney-Animation-Studios,United States,United-States,English,English,858000,102797000,268000000,34492.0
3505,34587,Cat People,1942,73,,17949,"Nov 16, 1942",1942/11/16,Cat People,Cat-People,Not Rated,Not-Rated-(US),73.0,,,,,Original Screenplay,Original-Screenplay,Drama,Drama,Live Action,Live-Action,Fantasy,Fantasy,,,United States,United-States,English,English,134000,4000000,8000000,34587.0
4039,35959,A Guy Named Joe,1943,70,,2059,"Dec 24, 1943",1943/12/24,A Guy Named Joe,Guy-Named-Joe-A,Not Rated,Not-Rated-(US),122.0,,,,,Original Screenplay,Original-Screenplay,Drama,Drama,Live Action,Live-Action,,,,,United States,United-States,English,English,2627000,5363000,5363000,35959.0
4561,36628,Bathing Beauty,1944,66,,1361,"Jun 27, 1944",1944/06/27,Bathing Beauty,Bathing-Beauty,Not Rated,Not-Rated-(US),101.0,,,,,Original Screenplay,Original-Screenplay,Musical,Musical,Live Action,Live-Action,,,,,United States,United-States,English,English,2361000,3500000,3500000,36628.0
